portfolio,returns
100000.0,0.0
100000.0,0.0
100000.0,0.0
100000.0,0.0
100000.0,0.0
100000.0,0.0
100000.0,0.0
100000.0,0.0
100000.0,0.0
100000.0,0.0
100000.0,0.0
100000.0,0.0
100000.0,0.0
100000.0,0.0
100000.0,0.0
100000.0,0.0
100000.0,0.0
100000.0,0.0
100000.0,0.0
100000.0,0.0
100000.0,0.0
100000.0,0.0
100000.0,0.0
100000.0,0.0
100000.0,0.0
100000.0,0.0
100000.0,0.0
100000.0,0.0
100000.0,0.0
100000.0,0.0
100000.0,0.0
100000.0,0.0
100000.0,0.0
100000.0,0.0
100000.0,0.0
100000.0,0.0
100000.0,0.0
100000.0,0.0
100000.0,0.0
100000.0,0.0
100000.0,0.0
100000.0,0.0
100000.0,0.0
100000.0,0.0
100000.0,0.0
100000.0,0.0
100000.0,0.0
100000.0,0.0
100000.0,0.0
100000.0,0.0
100000.0,0.0
100000.0,0.0
100000.0,0.0
100000.0,0.0
100000.0,0.0
100000.0,0.0
100000.0,0.0
100000.0,0.0
100000.0,0.0
100000.0,0.0
100000.0,0.0
100000.0,0.0
100000.0,0.0
100000.0,0.0
100000.0,0.0
100000.0,0.0
100000.0,0.0
100000.0,0.0
100000.0,0.0
100000.0,0.0
100000.0,0.0
100000.0,0.0
100000.0,0.0
100000.0,0.0
100000.0,0.0
100000.0,0.0
100000.0,0.0
100000.0,0.0
100000.0,0.0
100000.0,0.0
100000.0,0.0
100000.0,0.0
100000.0,0.0
100000.0,0.0
100000.0,0.0
100014.41469329502,0.00014414693295017322
100028.83146442387,0.00014414693295017322
100043.25031368606,0.00014414693295017322
100057.67124138115,0.00014414693295017322
100072.09424780872,0.00014414693295017322
100047.04054097137,-0.00025035657568328595
100021.9931064943,-0.00025035657568328595
99996.95194280714,-0.00025035657568328595
99971.91704833996,-0.00025035657568328595
99946.88842152325,-0.00025035657568328595
99874.5093817514,-0.0007241750185017493
99802.182757072,-0.0007241750185017493
99729.90850952739,-0.0007241750185017493
99657.68660118734,-0.0007241750185017493
99585.51699414907,-0.0007241750185017493
99585.51699414907,0.0
99585.51699414907,0.0
99585.51699414907,0.0
99585.51699414907,0.0
99585.51699414907,0.0
99585.51699414907,0.0
99585.51699414907,0.0
99585.51699414907,0.0
99585.51699414907,0.0
99585.51699414907,0.0
99585.51699414907,0.0
99585.51699414907,0.0
99585.51699414907,0.0
99585.51699414907,0.0
99585.51699414907,0.0
99585.51699414907,0.0
99585.51699414907,0.0
99585.51699414907,0.0
99585.51699414907,0.0
99585.51699414907,0.0
99585.51699414907,0.0
99585.51699414907,0.0
99585.51699414907,0.0
99585.51699414907,0.0
99585.51699414907,0.0
99585.51699414907,0.0
99585.51699414907,0.0
99585.51699414907,0.0
99585.51699414907,0.0
99585.51699414907,0.0
99585.51699414907,0.0
99585.51699414907,0.0
99585.51699414907,0.0
99585.51699414907,0.0
99585.51699414907,0.0
99585.51699414907,0.0
99585.51699414907,0.0
99585.51699414907,0.0
99585.51699414907,0.0
99585.51699414907,0.0
99585.51699414907,0.0
99585.51699414907,0.0
99585.51699414907,0.0
99585.51699414907,0.0
99585.51699414907,0.0
99585.51699414907,0.0
99585.51699414907,0.0
99585.51699414907,0.0
99585.51699414907,0.0
99585.51699414907,0.0
99585.51699414907,0.0
99585.51699414907,0.0
99585.51699414907,0.0
99585.51699414907,0.0
99585.51699414907,0.0
99480.21060652846,-0.0010574468135442494
99375.01557481187,-0.0010574468135442494
99269.93178124639,-0.0010574468135442494
99164.95910820355,-0.0010574468135442494
99060.09743817933,-0.0010574468135442494
99115.92933567386,0.0005636164201168192
99171.79270094259,0.0005636164201168192
99227.68755172126,0.0005636164201168192
99283.61390575563,0.0005636164201168192
99339.57178080145,0.0005636164201168192
99432.56450314504,0.0009361095551003729
99525.64427686456,0.0009361095551003729
99618.81118344967,0.0009361095551003729
99712.06530446622,0.0009361095551003729
99805.40672155652,0.0009361095551003729
99805.40672155652,0.0
99805.40672155652,0.0
99805.40672155652,0.0
99805.40672155652,0.0
99805.40672155652,0.0
99805.40672155652,0.0
99805.40672155652,0.0
99805.40672155652,0.0
99805.40672155652,0.0
99805.40672155652,0.0
99805.40672155652,0.0
99805.40672155652,0.0
99805.40672155652,0.0
99805.40672155652,0.0
99805.40672155652,0.0
99852.31286206275,0.00046997594666486897
99899.24104732678,0.00046997594666486897
99946.1912877091,0.00046997594666486897
99993.16359357508,0.00046997594666486897
100040.15797529499,0.00046997594666486897
100040.15797529499,0.0
100040.15797529499,0.0
100040.15797529499,0.0
100040.15797529499,0.0
100040.15797529499,0.0
100040.15797529499,0.0
100040.15797529499,0.0
100040.15797529499,0.0
100040.15797529499,0.0
100040.15797529499,0.0
100040.15797529499,0.0
100040.15797529499,0.0
100040.15797529499,0.0
100040.15797529499,0.0
100040.15797529499,0.0
100040.15797529499,0.0
100040.15797529499,0.0
100040.15797529499,0.0
100040.15797529499,0.0
100040.15797529499,0.0
100040.15797529499,0.0
100040.15797529499,0.0
100040.15797529499,0.0
100040.15797529499,0.0
100040.15797529499,0.0
100040.15797529499,0.0
100040.15797529499,0.0
100040.15797529499,0.0
100040.15797529499,0.0
100040.15797529499,0.0
100040.15797529499,0.0
100040.15797529499,0.0
100040.15797529499,0.0
100040.15797529499,0.0
100040.15797529499,0.0
100105.15295675519,0.0006496889126890171
100170.19016473423,0.0006496889126890171
100235.2696266662,0.0006496889126890171
100300.39137000304,0.0006496889126890171
100365.5554222145,0.0006496889126890171
100365.5554222145,0.0
100365.5554222145,0.0
100365.5554222145,0.0
100365.5554222145,0.0
100365.5554222145,0.0
100365.5554222145,0.0
100365.5554222145,0.0
