portfolio,returns
97909.39591846013,-0.020906040815398708
95862.49809117777,-0.020906040815398708
93858.39279341753,-0.020906040815398708
91896.18540281063,-0.020906040815398708
89975.00000000001,-0.020906040815398708
89970.50080005752,-5.0005000750141804e-05
89966.00182509753,-5.0005000750141804e-05
89961.50307510878,-5.0005000750141804e-05
89957.00455008002,-5.0005000750141804e-05
89952.50625000002,-5.0005000750141804e-05
88071.9554828901,-0.020906040815398708
86230.71958687283,-0.020906040815398708
84427.97664364846,-0.020906040815398708
82662.92191797482,-0.020906040815398708
80934.76749843752,-0.020906040815398708
80934.76749843752,0.0
80934.76749843752,0.0
80934.76749843752,0.0
80934.76749843752,0.0
80934.76749843752,0.0
80934.76749843752,0.0
80934.76749843752,0.0
80934.76749843752,0.0
80934.76749843752,0.0
80934.76749843752,0.0
79242.74194573038,-0.02090604081539882
77586.08994828882,-0.02090604081539882
75964.07198512269,-0.02090604081539882
74375.96399569782,-0.02090604081539882
72821.05705671912,-0.02090604081539882
72821.05705671912,0.0
72821.05705671912,0.0
72821.05705671912,0.0
72821.05705671912,0.0
72821.05705671912,0.0
72817.41563970638,-5.0005000750141804e-05
72813.77440478269,-5.0005000750141804e-05
72810.13335193896,-5.0005000750141804e-05
72806.49248116607,-5.0005000750141804e-05
72802.85179245494,-5.0005000750141804e-05
72802.85179245494,0.0
72802.85179245494,0.0
72802.85179245494,0.0
72802.85179245494,0.0
72802.85179245494,0.0
72802.85179245494,0.0
72802.85179245494,0.0
72802.85179245494,0.0
72802.85179245494,0.0
72802.85179245494,0.0
72802.85179245494,0.0
72802.85179245494,0.0
72802.85179245494,0.0
72802.85179245494,0.0
72802.85179245494,0.0
72802.85179245494,0.0
72802.85179245494,0.0
72802.85179245494,0.0
72802.85179245494,0.0
72802.85179245494,0.0
72802.85179245494,0.0
72802.85179245494,0.0
72802.85179245494,0.0
72802.85179245494,0.0
72802.85179245494,0.0
72802.85179245494,0.0
72802.85179245494,0.0
72802.85179245494,0.0
72802.85179245494,0.0
72802.85179245494,0.0
72802.85179245494,0.0
72802.85179245494,0.0
72802.85179245494,0.0
72802.85179245494,0.0
72802.85179245494,0.0
72802.85179245494,0.0
72802.85179245494,0.0
72802.85179245494,0.0
72802.85179245494,0.0
72802.85179245494,0.0
72802.85179245494,0.0
72802.85179245494,0.0
72802.85179245494,0.0
72802.85179245494,0.0
72802.85179245494,0.0
72802.85179245494,0.0
72802.85179245494,0.0
72802.85179245494,0.0
72802.85179245494,0.0
72802.85179245494,0.0
72802.85179245494,0.0
72802.85179245494,0.0
72802.85179245494,0.0
72802.85179245494,0.0
72802.85179245494,0.0
72802.85179245494,0.0
72802.85179245494,0.0
72802.85179245494,0.0
72802.85179245494,0.0
72802.85179245494,0.0
71280.83240140445,-0.020906040815398708
69790.6324098651,-0.020906040815398708
68331.58660017197,-0.020906040815398708
66903.04366172782,-0.020906040815398708
65504.36590026134,-0.020906040815398708
65504.36590026134,0.0
65504.36590026134,0.0
65504.36590026134,0.0
65504.36590026134,0.0
65504.36590026134,0.0
65504.36590026134,0.0
65504.36590026134,0.0
65504.36590026134,0.0
65504.36590026134,0.0
65504.36590026134,0.0
65504.36590026134,0.0
65504.36590026134,0.0
65504.36590026134,0.0
65504.36590026134,0.0
65504.36590026134,0.0
66761.95428349469,0.01919854296655865
68043.68653133778,0.01919854296655865
69350.02617081272,0.01919854296655865
70681.44562798503,0.01919854296655865
72038.42639881239,0.01919854296655865
73421.45922327325,0.01919854296655865
74831.0442628387,0.01919854296655865
76267.69128135126,0.01919854296655865
77731.91982937651,0.01919854296655865
79224.25943209388,0.01919854296655865
77567.99383083679,-0.020906040815398708
75946.35418584073,-0.020906040815398708
74358.6166054508,-0.020906040815398708
72804.07233172067,-0.020906040815398708
71282.02742402648,-0.020906040815398708
72650.53849027006,0.01919854296655865
74045.32297501914,0.01919854296655865
75466.88528962775,0.01919854296655865
76915.73952941303,0.01919854296655865
78392.4096595731,0.01919854296655865
78392.4096595731,0.0
78392.4096595731,0.0
78392.4096595731,0.0
78392.4096595731,0.0
78392.4096595731,0.0
78392.4096595731,0.0
78392.4096595731,0.0
78392.4096595731,0.0
78392.4096595731,0.0
78392.4096595731,0.0
78392.4096595731,0.0
78392.4096595731,0.0
78392.4096595731,0.0
78392.4096595731,0.0
78392.4096595731,0.0
78392.4096595731,0.0
78392.4096595731,0.0
78392.4096595731,0.0
78392.4096595731,0.0
78392.4096595731,0.0
78392.4096595731,0.0
78392.4096595731,0.0
78392.4096595731,0.0
78392.4096595731,0.0
78392.4096595731,0.0
78392.4096595731,0.0
78392.4096595731,0.0
78392.4096595731,0.0
78392.4096595731,0.0
78392.4096595731,0.0
78392.4096595731,0.0
78392.4096595731,0.0
78392.4096595731,0.0
78392.4096595731,0.0
78392.4096595731,0.0
78392.4096595731,0.0
78392.4096595731,0.0
78392.4096595731,0.0
78392.4096595731,0.0
78392.4096595731,0.0
78392.4096595731,0.0
78392.4096595731,0.0
78392.4096595731,0.0
78392.4096595731,0.0
78392.4096595731,0.0
76753.5347436126,-0.020906040815398708
75148.92221353651,-0.020906040815398708
73577.8557785071,-0.020906040815398708
72039.6341224921,-0.020906040815398708
70533.57059120089,-0.020906040815398708
70533.57059120089,0.0
70533.57059120089,0.0
70533.57059120089,0.0
70533.57059120089,0.0
70533.57059120089,0.0
70530.04355995056,-5.0005000750141804e-05
70526.51670506944,-5.0005000750141804e-05
70522.99002654871,-5.0005000750141804e-05
70519.46352437952,-5.0005000750141804e-05
70515.93719855307,-5.0005000750141804e-05
70515.93719855307,0.0
70515.93719855307,0.0
70515.93719855307,0.0
70515.93719855307,0.0
70515.93719855307,0.0
70515.93719855307,0.0
70515.93719855307,0.0
70515.93719855307,0.0
70515.93719855307,0.0
70515.93719855307,0.0
70515.93719855307,0.0
70515.93719855307,0.0
70515.93719855307,0.0
70515.93719855307,0.0
70515.93719855307,0.0
70515.93719855307,0.0
70515.93719855307,0.0
70515.93719855307,0.0
70515.93719855307,0.0
70515.93719855307,0.0
70515.93719855307,0.0
70515.93719855307,0.0
70515.93719855307,0.0
70515.93719855307,0.0
70515.93719855307,0.0
70515.93719855307,0.0
70515.93719855307,0.0
70515.93719855307,0.0
70515.93719855307,0.0
70515.93719855307,0.0
69041.72813734403,-0.020906040815398708
67598.33895093907,-0.020906040815398708
66185.12531777757,-0.020906040815398708
64801.45638651183,-0.020906040815398708
63446.71449439814,-0.020906040815398708
64664.798968705814,0.01919854296655865
65906.26889013039,0.01919854296655865
67171.57322518314,0.01919854296655865
68461.16955987815,0.01919854296655865
69775.52426521434,0.01919854296655865
69772.03514007111,-5.0005000750141804e-05
69768.54618940159,-5.0005000750141804e-05
69765.05741319705,-5.0005000750141804e-05
69761.56881144877,-5.0005000750141804e-05
69758.08038414802,-5.0005000750141804e-05
69758.08038414802,0.0
69758.08038414802,0.0
69758.08038414802,0.0
69758.08038414802,0.0
69758.08038414802,0.0
69758.08038414802,0.0
69758.08038414802,0.0
69758.08038414802,0.0
69758.08038414802,0.0
69758.08038414802,0.0
69754.59213128609,-5.0005000750141804e-05
69751.10405285424,-5.0005000750141804e-05
69747.61614884375,-5.0005000750141804e-05
69744.12841924591,-5.0005000750141804e-05
69740.64086405198,-5.0005000750141804e-05
69737.15348325326,-5.0005000750141804e-05
69733.66627684102,-5.0005000750141804e-05
69730.17924480654,-5.0005000750141804e-05
69726.69238714108,-5.0005000750141804e-05
69723.20570383596,-5.0005000750141804e-05
69723.20570383596,0.0
69723.20570383596,0.0
69723.20570383596,0.0
69723.20570383596,0.0
69723.20570383596,0.0
69723.20570383596,0.0
69723.20570383596,0.0
69723.20570383596,0.0
69723.20570383596,0.0
69723.20570383596,0.0
69723.20570383596,0.0
69723.20570383596,0.0
69723.20570383596,0.0
69723.20570383596,0.0
69723.20570383596,0.0
69723.20570383596,0.0
69723.20570383596,0.0
69723.20570383596,0.0
69723.20570383596,0.0
69723.20570383596,0.0
69723.20570383596,0.0
69723.20570383596,0.0
69723.20570383596,0.0
69723.20570383596,0.0
69723.20570383596,0.0
69723.20570383596,0.0
69723.20570383596,0.0
69723.20570383596,0.0
69723.20570383596,0.0
69723.20570383596,0.0
69723.20570383596,0.0
69723.20570383596,0.0
69723.20570383596,0.0
69723.20570383596,0.0
69723.20570383596,0.0
69723.20570383596,0.0
69723.20570383596,0.0
69723.20570383596,0.0
69723.20570383596,0.0
69723.20570383596,0.0
69723.20570383596,0.0
69723.20570383596,0.0
69723.20570383596,0.0
69723.20570383596,0.0
69723.20570383596,0.0
69723.20570383596,0.0
69723.20570383596,0.0
69723.20570383596,0.0
69723.20570383596,0.0
69723.20570383596,0.0
69723.20570383596,0.0
69723.20570383596,0.0
69723.20570383596,0.0
