portfolio,returns
100000.0,0.0
100000.0,0.0
100000.0,0.0
100000.0,0.0
100000.0,0.0
100000.0,0.0
100000.0,0.0
100000.0,0.0
100000.0,0.0
100000.0,0.0
100000.0,0.0
100000.0,0.0
100000.0,0.0
100000.0,0.0
100000.0,0.0
100000.0,0.0
100000.0,0.0
100000.0,0.0
100000.0,0.0
100000.0,0.0
99966.50084856641,-0.0003349915143358029
99933.0129190643,-0.0003349915143358029
99899.53620773442,-0.0003349915143358029
99866.07071081875,-0.0003349915143358029
99832.61642456056,-0.0003349915143358029
99799.93648477542,-0.00032734732350558904
99767.2672426811,-0.00032734732350558904
99734.60869477574,-0.00032734732350558904
99701.96083755862,-0.00032734732350558904
99669.32366753019,-0.00032734732350558904
99669.32366753019,0.0
99669.32366753019,0.0
99669.32366753019,0.0
99669.32366753019,0.0
99669.32366753019,0.0
99669.32366753019,0.0
99669.32366753019,0.0
99669.32366753019,0.0
99669.32366753019,0.0
99669.32366753019,0.0
99639.46336998553,-0.00029959366077625393
99609.61201839674,-0.00029959366077625393
99579.76961008365,-0.00029959366077625393
99549.9361423669,-0.00029959366077625393
99520.11161256797,-0.00029959366077625393
99519.09868812448,-1.0178087896717258e-05
99518.08577399062,-1.0178087896717258e-05
99517.07287016632,-1.0178087896717258e-05
99516.05997665142,-1.0178087896717258e-05
99515.04709344584,-1.0178087896717258e-05
99497.71157401602,-0.00017419998217493848
99480.37907443338,-0.00017419998217493848
99463.04959417185,-0.00017419998217493848
99445.72313270549,-0.00017419998217493848
99428.3996895084,-0.00017419998217493848
99396.61521074292,-0.0003196720339936343
99364.84089258642,-0.0003196720339936343
99333.07673179083,-0.0003196720339936343
99301.32272510914,-0.0003196720339936343
99269.57886929535,-0.0003196720339936343
99268.16750697963,-1.4217470566402213e-05
99266.75616472992,-1.4217470566402213e-05
99265.34484254592,-1.4217470566402213e-05
99263.93354042736,-1.4217470566402213e-05
99262.52225837394,-1.4217470566402213e-05
99255.7217434317,-6.851039836097694e-05
99248.92169439545,-6.851039836097694e-05
99242.12211123327,-6.851039836097694e-05
99235.32299391324,-6.851039836097694e-05
99228.52434240344,-6.851039836097694e-05
99283.84214038834,0.0005574787930333613
99339.19077687248,0.0005574787930333613
99394.57026904768,0.0005574787930333613
99449.98063411533,0.0005574787930333613
99505.42188928643,0.0005574787930333613
99492.06430351804,-0.00013423977824289501
99478.70851086902,-0.00013423977824289501
99465.35451109863,-0.00013423977824289501
99452.0023039662,-0.00013423977824289501
99438.65188923111,-0.00013423977824289501
99438.65188923111,0.0
99438.65188923111,0.0
99438.65188923111,0.0
99438.65188923111,0.0
99438.65188923111,0.0
99438.65188923111,0.0
99438.65188923111,0.0
99438.65188923111,0.0
99438.65188923111,0.0
99438.65188923111,0.0
99438.65188923111,0.0
99438.65188923111,0.0
99438.65188923111,0.0
99438.65188923111,0.0
99438.65188923111,0.0
99438.65188923111,0.0
99438.65188923111,0.0
99438.65188923111,0.0
99438.65188923111,0.0
99438.65188923111,0.0
99453.36292447444,0.00014794081540570048
99468.07613608033,0.00014794081540570048
99482.79152437074,0.00014794081540570048
99497.50908966768,0.00014794081540570048
99512.22883229324,0.00014794081540570048
99474.80455509786,-0.00037607716794751944
99437.39435231865,-0.00037607716794751944
99399.99821866254,-0.00037607716794751944
99362.61614883848,-0.00037607716794751944
99325.24813755737,-0.00037607716794751944
99295.40798247886,-0.0003004286990270222
99265.57679223933,-0.0003004286990270222
99235.75456414548,-0.0003004286990270222
99205.9412955048,-0.0003004286990270222
99176.13698362565,-0.0003004286990270222
99150.50006388042,-0.0002584988740735872
99124.86977125007,-0.0002584988740735872
99099.24610402153,-0.0002584988740735872
99073.6290604821,-0.0002584988740735872
99048.01863891957,-0.0002584988740735872
99038.96266460785,-9.143014101808955e-05
99029.90751828514,-9.143014101808955e-05
99020.85319987574,-9.143014101808955e-05
99011.79970930394,-9.143014101808955e-05
99002.74704649407,-9.143014101808955e-05
98967.8014378843,-0.0003529761511905649
98932.86816424098,-0.0003529761511905649
98897.94722121011,-0.0003529761511905649
98863.03860443932,-0.0003529761511905649
98828.14230957773,-0.0003529761511905649
98804.12358073566,-0.00024303531646718834
98780.11068929295,-0.00024303531646718834
98756.10363383092,-0.00024303531646718834
98732.1024129312,-0.00024303531646718834
98708.1070251758,-0.00024303531646718834
98741.92749742126,0.0003426311502137125
98775.75955761402,0.0003426311502137125
98809.60320972448,0.0003426311502137125
98843.45845772438,0.0003426311502137125
98877.32530558686,0.0003426311502137125
98888.76854062625,0.0001157316402322639
98900.21310001,0.0001157316402322639
98911.6589838914,0.0001157316402322639
98923.1061924237,0.0001157316402322639
98934.55472576022,0.0001157316402322639
98934.55472576022,0.0
98934.55472576022,0.0
98934.55472576022,0.0
98934.55472576022,0.0
98934.55472576022,0.0
98929.27359725669,-5.3380019935045375e-05
98923.9927506599,-5.3380019935045375e-05
98918.71218595482,-5.3380019935045375e-05
98913.43190312639,-5.3380019935045375e-05
98908.15190215956,-5.3380019935045375e-05
98823.9353929812,-0.000851461760822847
98739.79059094006,-0.000851461760822847
98655.71743498022,-0.000851461760822847
98571.71586409779,-0.000851461760822847
98487.78581734082,-0.000851461760822847
98455.05085017545,-0.00033237590726298283
98422.3267633245,-0.00033237590726298283
98389.61355317161,-0.00033237590726298283
98356.91121610162,-0.00033237590726298283
98324.21974850059,-0.00033237590726298283
98313.87923868235,-0.00010516747394173631
98303.5398163494,-0.00010516747394173631
98293.20148138738,-0.00010516747394173631
98282.86423368195,-0.00010516747394173631
98272.52807311872,-0.00010516747394173631
98327.77008713315,0.0005621307917642593
98383.04315438464,0.0005621307917642593
